transaction_id,account_id,transaction_type,amount,transaction_date,merchant,payment_method,status
65,1,Transfer,25120.01,2026-05-03 14:59:35,Flowers PLC,Mobile App,Completed
66,1,Transfer,7590.44,2024-11-10 05:45:58,Hall Inc,ATM,Pending
67,1,Withdrawal,1432.15,2024-10-01 09:44:15,"Contreras, Shaw and Larsen",POS,Completed
68,1,Purchase,15307.88,2025-10-05 11:36:38,Ortiz LLC,Mobile App,Pending
69,1,Withdrawal,39300.2,2025-03-12 15:53:23,Barton-Butler,POS,Failed
70,1,Transfer,37401.02,2025-07-30 18:58:06,Huynh-Cook,POS,Pending
71,1,Withdrawal,12674.88,2025-02-22 09:10:56,Mitchell-Green,POS,Completed
72,1,Transfer,26517.98,2024-08-25 03:59:32,"Hobbs, Hall and Walker",Online,Failed
73,1,Deposit,16938.71,2026-03-13 05:33:59,"Clark, Mcgee and Harvey",ATM,Pending
74,1,Purchase,47001.52,2025-08-07 22:49:25,"Dominguez, Reynolds and Willis",ATM,Completed
75,1,Purchase,15635.64,2024-08-03 00:13:52,Cox PLC,Mobile App,Completed
76,1,Transfer,938.63,2026-03-17 08:48:43,"Anderson, Diaz and Rodriguez",POS,Failed
77,1,Transfer,17058.52,2025-09-20 01:14:35,Cox-Williams,POS,Completed
78,1,Transfer,45868.19,2025-04-03 21:11:57,Reed-Daniel,Online,Failed
79,1,Deposit,11897.0,2025-01-11 01:01:21,Bird-Gonzalez,POS,Pending
80,1,Transfer,12554.9,2025-10-26 14:03:16,Hughes-Johnson,POS,Failed
81,1,Transfer,12536.16,2026-06-10 13:34:59,Smith-Martin,Online,Failed
82,1,Transfer,44725.13,2026-01-27 18:09:24,Anderson-Gonzalez,POS,Pending
83,1,Purchase,37912.95,2025-05-17 08:25:43,Garcia-Riley,Mobile App,Pending
84,1,Transfer,41146.6,2026-04-11 01:40:48,Thomas PLC,Mobile App,Pending
85,1,Transfer,6183.05,2026-06-15 04:46:51,Rodriguez Inc,Mobile App,Pending
86,1,Withdrawal,46838.93,2024-10-09 20:15:49,Miller-Jackson,ATM,Failed
87,1,Purchase,4821.51,2026-07-05 00:32:31,"Sanders, Roth and Jackson",ATM,Pending
88,1,Transfer,18128.31,2025-06-29 01:39:04,Dixon Inc,Online,Completed
89,1,Transfer,36719.23,2024-12-02 23:47:15,"Finley, Mayer and Patterson",ATM,Failed
90,2,Purchase,20832.11,2024-10-28 14:27:29,Long Inc,Mobile App,Completed
91,2,Withdrawal,32047.85,2025-08-31 05:26:54,"Schmitt, Romero and Alexander",Online,Completed
92,2,Withdrawal,17549.24,2024-10-11 17:00:03,Williams-Reed,POS,Failed
93,2,Deposit,10115.89,2024-09-17 19:07:31,Davis and Sons,Mobile App,Completed
94,2,Deposit,24458.7,2026-04-21 21:58:58,"Larson, Lloyd and Gates",POS,Failed
95,2,Purchase,18459.07,2025-07-14 23:09:16,Gonzales PLC,POS,Failed
96,2,Deposit,32436.04,2026-06-07 04:35:51,"Grant, Watson and Kelly",POS,Completed
97,2,Withdrawal,13034.6,2025-06-06 15:32:48,Williamson Ltd,ATM,Pending
98,2,Withdrawal,32634.27,2026-05-17 05:27:35,Brown PLC,ATM,Failed
99,2,Transfer,31705.07,2024-08-02 13:57:28,"Kramer, Combs and Wilson",POS,Pending
100,2,Transfer,24933.35,2026-05-22 10:18:56,Brock-Mullins,POS,Failed
101,2,Deposit,36864.65,2026-07-15 23:08:50,Barton-Hernandez,POS,Completed
102,2,Transfer,3551.94,2025-03-10 15:21:34,Wilson-Stanton,Online,Completed
103,2,Deposit,454.91,2025-04-07 22:28:25,Whitaker-Smith,POS,Failed
104,2,Deposit,39604.05,2026-07-22 05:48:34,"Woods, May and Mitchell",ATM,Completed
105,2,Deposit,11973.14,2025-01-23 16:55:17,Fitzpatrick-Marshall,Online,Failed
106,2,Withdrawal,65.76,2024-08-16 03:25:18,"Summers, Donovan and Reese",Mobile App,Completed
107,2,Deposit,40564.3,2025-09-25 17:45:07,Griffin-Boone,Online,Failed
108,2,Deposit,2959.75,2025-12-23 15:27:10,"Page, Hernandez and Turner",Mobile App,Failed
109,2,Purchase,49811.21,2026-04-15 16:44:34,Berger and Sons,ATM,Completed
110,2,Withdrawal,15571.16,2025-04-05 07:08:19,Dunn Group,ATM,Completed
111,2,Purchase,773.96,2026-02-04 01:04:11,Rhodes PLC,ATM,Failed
112,2,Deposit,25428.51,2025-02-02 01:19:33,"Richards, Yang and Garcia",ATM,Pending
113,2,Deposit,44898.99,2026-03-29 22:10:28,"Myers, Silva and Bradford",Mobile App,Pending
114,2,Deposit,43354.63,2026-04-08 12:29:13,Potts-Richard,ATM,Pending
115,2,Withdrawal,25728.25,2024-09-20 16:56:36,West-Webb,Online,Pending
116,2,Deposit,38816.23,2026-02-14 09:37:48,Cabrera PLC,Online,Failed
117,2,Withdrawal,10001.72,2025-02-16 01:10:52,Cole PLC,Mobile App,Failed
118,2,Transfer,33344.76,2026-02-05 22:59:40,Hughes-Edwards,POS,Pending
119,2,Deposit,40890.82,2025-11-27 23:18:20,Rodriguez-Floyd,POS,Pending
120,2,Transfer,9588.65,2026-07-03 01:35:42,Brooks-Young,Online,Pending
121,2,Deposit,16291.46,2026-03-19 12:50:46,Santiago-Miller,ATM,Pending
122,2,Withdrawal,26920.37,2024-12-25 11:33:33,"Murray, Valenzuela and Snyder",Mobile App,Pending
123,2,Transfer,29823.66,2026-07-07 08:10:10,Johnson-Acosta,Mobile App,Pending
124,2,Withdrawal,32923.83,2026-01-29 16:44:44,Young Ltd,Mobile App,Pending
125,2,Purchase,21996.5,2025-03-14 01:34:25,Martin Inc,Online,Pending
126,2,Transfer,13099.72,2026-03-17 07:57:21,Keller-Harris,ATM,Failed
127,2,Transfer,48465.2,2025-07-22 18:10:56,"Romero, Kramer and Tanner",POS,Completed
128,2,Purchase,43607.97,2025-06-03 12:59:39,Rivers-Acosta,ATM,Failed
129,2,Purchase,15707.52,2026-04-02 00:25:26,Rubio-Fletcher,POS,Pending
130,2,Purchase,7774.46,2025-02-18 10:30:52,Curtis-Perkins,POS,Completed
131,2,Deposit,25996.17,2026-05-27 06:02:32,"Jones, Thomas and Escobar",POS,Failed
132,2,Transfer,41448.05,2026-04-23 08:07:26,"White, Jones and Lee",Mobile App,Pending
133,2,Purchase,3124.4,2024-08-21 05:58:13,Jackson-Stewart,POS,Completed
134,2,Deposit,12908.49,2025-10-10 18:32:30,"Jenkins, Green and Long",Mobile App,Pending
135,2,Deposit,45287.0,2025-10-19 07:30:51,"Gonzalez, Hurley and Jones",ATM,Failed
136,2,Withdrawal,30326.25,2024-11-18 12:57:16,Carlson LLC,ATM,Failed
137,3,Transfer,8287.91,2025-09-04 07:29:53,Shaffer Inc,Mobile App,Completed
138,3,Transfer,6079.37,2024-08-10 15:47:27,Barber LLC,Mobile App,Failed
139,3,Purchase,19971.83,2024-12-29 07:57:20,Bernard and Sons,ATM,Completed
140,3,Transfer,24112.17,2026-07-08 12:40:15,"Willis, Romero and Cruz",Online,Pending
141,3,Deposit,25825.54,2024-08-07 06:45:33,"Woodard, King and Wright",ATM,Failed
142,3,Withdrawal,31640.14,2025-04-19 02:00:21,Fritz-Watson,POS,Completed
143,3,Transfer,7303.4,2025-03-04 02:50:33,Watson-Perez,Mobile App,Failed
144,3,Deposit,36802.65,2024-08-03 01:50:58,"Chang, Moore and Bass",Online,Failed
145,3,Withdrawal,49620.54,2025-03-22 15:47:26,"Hendrix, Nunez and Swanson",POS,Pending
146,3,Purchase,5584.2,2025-04-10 02:43:03,Steele Group,ATM,Completed
147,3,Withdrawal,31171.13,2025-08-09 11:04:23,Knight Ltd,ATM,Completed
148,3,Purchase,14042.0,2025-08-03 01:14:02,"Green, Wade and Bush",POS,Pending
149,3,Purchase,23440.86,2025-04-13 01:25:23,Reynolds and Sons,Mobile App,Pending
150,3,Deposit,3437.06,2026-01-07 11:03:55,"Travis, Brown and Brown",Online,Completed
151,3,Deposit,36493.48,2025-01-07 08:26:07,"Guzman, Copeland and Patton",Online,Completed
152,3,Transfer,34474.76,2024-08-05 01:05:54,Singh and Sons,POS,Completed
153,3,Transfer,6729.22,2025-08-12 19:54:26,Huynh LLC,ATM,Completed
154,3,Deposit,46426.07,2024-11-14 21:52:27,Webb-Calhoun,ATM,Failed
155,3,Transfer,5353.78,2025-07-24 18:05:16,Murphy-Maynard,Online,Failed
156,3,Purchase,1623.78,2026-04-16 05:55:15,Porter-Lawrence,Mobile App,Pending
157,3,Transfer,3043.11,2024-08-15 14:59:17,Chavez-Buchanan,ATM,Pending
158,3,Withdrawal,39525.09,2025-01-01 08:04:35,"Anderson, Williams and Morgan",POS,Pending
159,3,Purchase,3677.82,2026-01-01 13:49:47,Holden-Nguyen,ATM,Completed
160,3,Deposit,41772.37,2025-12-18 11:59:22,Mason-Webb,Mobile App,Failed
161,3,Deposit,49458.61,2024-09-17 12:39:39,"Blevins, Cook and Wilson",Online,Pending
162,3,Transfer,25737.76,2025-01-21 02:11:05,Moore-Ford,ATM,Pending
163,3,Deposit,24918.53,2025-06-09 12:34:04,"Preston, Hodge and Kelly",POS,Pending
164,3,Deposit,2204.9,2025-09-07 22:18:18,"Gonzales, Kane and Robinson",POS,Pending
165,3,Deposit,34259.54,2026-05-09 14:28:20,Gibson-Morrow,POS,Pending
166,3,Transfer,42485.22,2024-12-28 00:14:15,Charles-Jackson,Mobile App,Failed
167,3,Purchase,19564.22,2024-08-05 04:12:37,"Brock, Thompson and Chavez",ATM,Pending
168,3,Purchase,39235.27,2024-08-23 03:18:33,"Ray, Thornton and Wallace",Online,Completed
169,3,Transfer,19490.31,2024-10-17 05:26:24,"Cooper, Price and Howell",ATM,Completed
170,3,Transfer,48026.51,2025-04-29 09:17:09,"Bird, Lane and Miller",POS,Completed
171,3,Transfer,6975.64,2025-06-01 12:50:32,Hernandez-Hinton,POS,Completed
172,3,Purchase,6491.38,2024-08-03 04:26:44,Edwards Inc,Mobile App,Completed
173,4,Withdrawal,15921.83,2024-08-03 03:27:59,Nelson-Carpenter,ATM,Completed
174,4,Withdrawal,10400.25,2025-12-20 06:52:22,Alexander-Carroll,Mobile App,Pending
175,4,Purchase,6021.72,2025-09-04 14:37:28,"Gay, Oliver and Martin",ATM,Completed
176,4,Withdrawal,46306.19,2024-10-28 15:52:00,"Wood, Martinez and Erickson",ATM,Completed
177,4,Transfer,37776.01,2025-06-18 05:06:45,Robinson-Miranda,POS,Pending
178,4,Withdrawal,46749.52,2026-02-27 21:13:15,Daniel-Whitehead,Mobile App,Completed
179,4,Transfer,48060.94,2025-01-18 20:48:19,Graham Inc,Mobile App,Pending
180,4,Transfer,35763.02,2026-04-22 19:02:08,Ruiz Inc,Mobile App,Pending
181,4,Transfer,46616.12,2024-08-18 13:48:50,Gomez-Moore,POS,Completed
182,4,Withdrawal,37328.04,2025-06-10 01:24:15,Perkins-Simpson,ATM,Pending
183,4,Transfer,42017.43,2024-08-15 22:55:58,"Mclaughlin, Lowe and Smith",POS,Completed
184,4,Deposit,3674.67,2026-07-20 01:28:54,Payne-Kim,Mobile App,Failed
185,4,Transfer,1136.1,2025-04-24 13:11:14,Jacobs-Gonzalez,Mobile App,Failed
186,4,Withdrawal,14254.34,2026-02-21 20:22:33,Brown-Cisneros,ATM,Completed
187,4,Purchase,12270.17,2026-05-05 18:34:36,"Mcmillan, Lowery and Barrett",POS,Pending
188,4,Deposit,8350.91,2025-07-06 10:09:09,Hoffman-Goodwin,POS,Failed
189,4,Withdrawal,42021.04,2025-05-22 08:13:23,Werner and Sons,POS,Pending
190,4,Withdrawal,19120.43,2025-11-12 17:29:44,Pratt-Vaughan,ATM,Pending
191,4,Withdrawal,20709.13,2024-10-31 16:18:54,Rodriguez LLC,POS,Pending
192,4,Purchase,13544.54,2026-03-05 18:31:31,Bray-Howard,POS,Completed
193,4,Purchase,13372.13,2025-11-23 14:17:02,Walton-Chan,POS,Completed
194,4,Transfer,6623.62,2026-01-11 23:42:10,"Santiago, Williams and Coleman",Online,Completed
195,4,Deposit,110.52,2024-12-20 15:41:53,Smith-Benjamin,Online,Pending
196,4,Purchase,239.68,2024-09-03 03:28:36,Gonzalez Group,Online,Failed
197,4,Deposit,32920.42,2024-11-05 04:38:41,"Clark, Nguyen and Oconnell",Mobile App,Failed
198,4,Withdrawal,23152.49,2025-11-13 06:23:18,Powell-Mason,ATM,Pending
199,4,Purchase,18916.55,2025-08-13 03:58:22,Martinez LLC,Mobile App,Completed
200,4,Withdrawal,23628.48,2024-08-16 17:36:13,Rogers-Butler,ATM,Completed
201,4,Deposit,39688.57,2024-09-06 05:34:18,"Jackson, Wilson and Johnson",ATM,Failed
202,4,Transfer,47095.35,2026-06-08 16:47:32,Cobb-Smith,Mobile App,Failed
203,4,Purchase,25405.06,2025-03-30 13:40:44,Flores Inc,Online,Pending
204,4,Deposit,6064.23,2025-05-14 09:09:57,Morgan-Bartlett,Online,Pending
205,4,Transfer,27668.2,2025-04-04 07:30:23,Snyder Ltd,POS,Completed
206,4,Withdrawal,18298.17,2025-10-15 03:34:40,Williams-Stephens,ATM,Pending
207,4,Transfer,41855.79,2026-07-19 08:41:50,Roy and Sons,Mobile App,Completed
208,4,Transfer,22633.71,2025-09-10 03:47:19,"Cantrell, Myers and Mccarty",ATM,Completed
209,4,Transfer,37337.28,2024-08-20 15:31:15,"Ramirez, Hanna and Clark",ATM,Failed
210,4,Deposit,5019.04,2025-04-26 10:42:29,"Banks, Stewart and Anderson",Mobile App,Pending
211,4,Transfer,17866.83,2025-03-30 17:20:19,Harmon-King,Online,Failed
212,4,Deposit,31730.47,2025-11-30 01:43:50,"Cox, Thornton and Moyer",ATM,Completed
213,4,Transfer,6919.88,2025-04-08 23:10:23,Kelly Inc,Mobile App,Completed
214,4,Transfer,49096.85,2025-05-24 11:53:18,Johnson Group,Online,Completed
215,4,Transfer,20580.08,2025-07-14 22:24:02,Brown-King,Mobile App,Failed
216,4,Deposit,22407.04,2025-09-09 01:02:24,"Barrett, Chavez and Lucas",Mobile App,Completed
217,4,Withdrawal,48129.88,2025-08-01 18:45:44,Stewart-Wiley,ATM,Failed
218,4,Purchase,49467.17,2026-04-14 03:09:59,Macdonald PLC,ATM,Pending
219,4,Deposit,16348.89,2024-12-29 16:50:44,Williams-Long,Mobile App,Failed
220,4,Withdrawal,20214.69,2025-02-17 18:02:33,Rush PLC,ATM,Failed
221,4,Withdrawal,31575.12,2025-03-08 14:08:19,Brown-Anderson,POS,Completed
222,4,Deposit,23636.76,2025-11-04 06:01:17,Townsend-Prince,ATM,Pending
223,4,Deposit,48020.84,2026-03-06 23:54:53,"Wilson, Pruitt and Simmons",ATM,Completed
224,4,Purchase,3836.18,2025-05-27 16:57:14,Gardner and Sons,POS,Completed
225,4,Purchase,11079.23,2025-04-28 17:03:57,Murray-Christian,Online,Completed
226,4,Purchase,17793.81,2024-08-18 15:51:35,"Santos, Mejia and Torres",Online,Completed
227,4,Transfer,23250.85,2026-01-24 21:17:21,Smith-Adkins,Mobile App,Failed
228,4,Purchase,5123.27,2025-01-11 18:32:20,Murillo LLC,Mobile App,Completed
229,5,Purchase,31436.13,2026-05-05 19:01:51,"Arnold, Stone and Tucker",POS,Failed
230,5,Deposit,27879.55,2025-03-01 08:42:39,"Lewis, Odonnell and Jackson",Online,Failed
231,5,Transfer,37760.24,2024-12-02 01:36:24,Martinez-Brandt,Mobile App,Pending
232,5,Withdrawal,36309.03,2025-09-26 05:29:52,"Alexander, Bernard and Jordan",POS,Failed
233,5,Withdrawal,34168.81,2025-04-06 05:02:09,"Hamilton, Benson and Lopez",Mobile App,Failed
234,5,Deposit,35398.64,2026-02-10 14:54:10,"Wallace, Hill and Jefferson",POS,Completed
235,5,Deposit,31488.91,2024-07-26 07:09:25,Logan and Sons,Mobile App,Failed
236,5,Deposit,9330.47,2025-12-30 08:12:32,Davis PLC,Online,Completed
237,5,Withdrawal,11798.77,2026-07-22 01:08:14,Moore-Hebert,ATM,Pending
238,5,Deposit,9357.94,2024-08-25 01:18:56,Johnson and Sons,POS,Failed
239,5,Transfer,22116.27,2025-04-20 21:02:04,Perez-Curtis,Online,Failed
240,5,Transfer,22713.24,2025-01-24 20:18:05,"Ingram, Chambers and Parker",Mobile App,Pending
241,5,Purchase,42020.86,2025-06-04 03:06:05,Jackson and Sons,Online,Completed
242,5,Deposit,18780.58,2025-12-07 20:51:48,"Mcneil, Wright and Durham",POS,Failed
243,5,Transfer,8113.46,2026-07-08 10:01:02,White-Brown,Online,Completed
244,5,Withdrawal,39714.41,2025-12-12 05:55:05,Smith Ltd,ATM,Pending
245,5,Purchase,18604.53,2026-04-27 01:10:24,Miller and Sons,POS,Failed
246,5,Transfer,42121.21,2026-05-26 13:53:17,Woods and Sons,Mobile App,Pending
247,5,Transfer,21744.41,2025-12-21 17:56:39,Burns-Ramirez,POS,Pending
248,5,Transfer,41165.15,2024-12-15 20:44:01,Daniels-Rodriguez,Mobile App,Failed
249,6,Purchase,24013.43,2024-07-28 09:27:17,Tanner LLC,Mobile App,Completed
250,6,Deposit,18189.82,2026-05-02 03:01:46,Shaffer LLC,Online,Failed
251,6,Withdrawal,26677.74,2026-05-09 19:44:49,"Thompson, Martinez and Smith",Mobile App,Completed
252,6,Deposit,20205.92,2026-05-06 07:16:45,Gonzales-Andrews,Mobile App,Pending
253,6,Deposit,49708.69,2026-06-03 10:56:53,"Montgomery, Mack and Dunn",ATM,Completed
254,6,Transfer,3500.54,2024-08-31 23:15:26,Nolan-Parks,Mobile App,Failed
255,6,Withdrawal,13758.22,2024-08-28 10:10:53,"Mendoza, Williams and Taylor",POS,Failed
256,6,Deposit,32031.16,2025-03-31 08:47:07,Haynes-Lynch,ATM,Failed
257,6,Purchase,40787.33,2025-05-19 05:21:21,"Martinez, Richardson and Flowers",Mobile App,Completed
258,6,Withdrawal,8747.86,2025-02-01 03:49:21,"Carter, Burns and Michael",Online,Failed
259,6,Withdrawal,15928.13,2026-04-07 04:37:57,Sullivan PLC,POS,Completed
260,6,Deposit,34937.94,2026-03-17 05:47:01,"Townsend, Banks and Mcdowell",Mobile App,Pending
261,6,Transfer,35579.7,2025-08-26 06:29:16,Johnson-Johnson,Online,Pending
262,6,Transfer,38800.64,2025-09-11 08:20:40,Thomas Ltd,ATM,Failed
263,6,Transfer,14929.32,2025-04-30 04:12:16,Dawson-Miller,Mobile App,Pending
264,6,Withdrawal,9338.77,2025-10-11 10:33:58,Ferguson and Sons,Online,Completed
265,6,Withdrawal,40189.55,2025-03-08 06:21:00,"Moss, Padilla and Hernandez",ATM,Pending
266,6,Purchase,47163.61,2026-04-21 17:21:29,"Hicks, Henderson and Collins",Mobile App,Pending
267,6,Deposit,1413.18,2025-05-28 00:05:43,Hansen-Cameron,Online,Pending
268,6,Transfer,35671.05,2025-05-10 15:17:41,"Jones, Allen and Andrews",Online,Pending
269,6,Deposit,1702.35,2025-04-12 15:43:59,Navarro and Sons,POS,Pending
270,6,Purchase,13472.56,2025-11-13 14:37:04,"Miles, Ortiz and Nguyen",Mobile App,Completed
271,6,Deposit,37313.83,2024-12-30 14:22:33,Schultz Group,POS,Completed
272,6,Deposit,31899.68,2025-08-30 11:18:01,Hernandez-Lambert,Mobile App,Failed
273,6,Deposit,37751.81,2025-04-12 01:29:28,Russell-Richards,POS,Failed
274,6,Deposit,28240.86,2024-10-17 15:44:30,Glover and Sons,Online,Completed
275,6,Withdrawal,5895.02,2025-04-30 09:42:23,"Ward, Bryant and Castillo",Mobile App,Failed
276,6,Withdrawal,5562.54,2025-10-26 10:35:09,Hinton-Hicks,Online,Completed
277,6,Deposit,22073.67,2025-12-06 13:57:05,Smith and Sons,Online,Completed
278,6,Transfer,6057.6,2025-10-28 12:15:11,Norris-Farmer,Mobile App,Completed
279,6,Deposit,39519.74,2026-03-01 02:26:19,"Weaver, Brown and Frederick",Online,Completed
280,6,Transfer,21306.24,2025-03-11 09:40:24,"Roberts, Jackson and Cruz",ATM,Completed
281,6,Transfer,31207.16,2025-01-10 08:10:57,Moore Ltd,ATM,Completed
282,6,Withdrawal,3244.78,2025-06-06 23:17:16,"Anderson, Thompson and Caldwell",Online,Failed
283,6,Transfer,5572.49,2025-02-20 11:18:54,Hernandez and Sons,ATM,Failed
284,6,Deposit,14739.5,2024-10-17 04:34:28,Benitez-Brown,ATM,Pending
285,6,Purchase,40700.09,2026-06-30 10:43:45,Schwartz-Jones,Mobile App,Completed
286,6,Withdrawal,34784.86,2026-07-19 13:40:32,"Summers, Smith and Ward",Online,Failed
287,6,Withdrawal,38131.51,2026-06-14 07:17:03,Rivera-Humphrey,POS,Completed
288,6,Purchase,40124.72,2025-12-07 10:06:57,Edwards-Knox,POS,Pending
289,6,Transfer,21657.05,2025-04-30 22:09:06,Smith Inc,Mobile App,Failed
290,6,Transfer,28372.83,2026-07-14 06:16:57,Nielsen-Nichols,ATM,Pending
291,6,Transfer,37797.19,2024-11-23 03:30:24,"Chavez, Jones and Stone",Mobile App,Failed
292,6,Purchase,41532.55,2025-02-23 06:33:30,Melendez-Olson,ATM,Pending
293,6,Purchase,23666.77,2026-04-04 11:32:56,"Dalton, Crosby and Shepard",ATM,Failed
294,6,Transfer,19007.34,2024-09-10 14:33:16,Yu and Sons,ATM,Completed
295,6,Transfer,25806.05,2025-07-09 05:20:53,Hernandez Group,Online,Pending
296,6,Withdrawal,22252.79,2024-12-31 12:22:26,"Thompson, Mcgee and Walters",Online,Failed
297,6,Deposit,25230.7,2024-12-23 01:38:38,"Richards, Lee and Gallagher",ATM,Failed
298,6,Deposit,46251.96,2024-12-11 17:34:46,"Le, Cooper and Mejia",ATM,Failed
299,6,Deposit,9941.21,2026-02-11 12:15:32,Sparks-Robinson,Mobile App,Failed
